name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age
Karima Germany,1951-05-23,1192,92154,2011-11-01,1321.0,1321.0,71
Agustina Spargo,1900-01-01,21,92111,2011-09-06,2289.0,2289.0,122
Lucilla Broderick,1900-01-01,1474,92159,2011-11-01,1439.0,1439.0,122
Russ Mchale,1977-04-20,2015,92137,2012-07-01,1744.0,1744.0,45
Carmelita Ritzer,1969-03-09,311,92136,2011-02-01,1471.0,1471.0,53
Clifton Ellwood,1993-11-02,430,92103,2011-11-01,1233.0,1233.0,29
Theda Howard,1900-01-01,2260,92161,2011-09-01,1850.0,1850.0,122
Delmar Facey,1900-01-01,541,92161,2011-12-01,1587.0,1587.0,122
Lashawn Rotella,1985-12-05,1336,92190,2011-07-01,1930.0,1930.0,37
Tianna Greenwell,1983-01-14,2273,92190,2010-05-01,1597.0,1597.0,39
Jillian Xu,1981-11-19,1115,92177,2010-05-08,1320.0,1320.0,41
Taneka Noto,1992-05-09,2216,92110,2011-03-01,988.0,988.0,30
Santo Hanney,1900-01-01,2052,92174,2012-07-01,1750.0,1750.0,122
Betsey Son,1980-08-15,205,92162,2012-08-01,1560.0,1560.0,42
Curtis Sher,1996-10-14,463,92130,2010-09-01,1169.0,1169.0,26
Britni Friel,1981-03-17,247,92195,2010-02-01,1370.0,1370.0,41
Claretta Carasco,1964-11-25,409,92170,2011-04-11,1698.0,1544.0,58
Kasi Kilgo,1900-01-01,1209,92132,2011-06-01,1539.0,1539.0,122
Harland Liggins,1983-11-28,910,92194,2011-02-01,1978.0,1978.0,39
Sonny Hayslip,1982-08-26,2160,92168,2012-04-08,1531.0,1531.0,40
Paulette Currence,1900-01-01,1867,92176,2011-11-01,1492.0,1492.0,122
Ettie Rozek,1983-04-09,729,92103,2011-01-01,1046.0,1046.0,39
Keturah Sheehan,1991-10-16,1248,92190,2011-06-02,1057.0,1057.0,31
Romana Buscher,1973-04-27,1961,92139,2010-03-17,672.0,585.0,49
Tonia Muniz,1900-01-01,2298,92111,2011-01-01,1512.0,1512.0,122
Nathanial Conlon,1999-09-01,1764,92169,2010-06-01,1415.0,1415.0,23
Enrique Wendell,1975-03-13,705,92116,2010-05-12,1661.0,1510.0,47
Ouida Vanzile,1900-01-01,1853,92147,2012-03-01,1593.0,1593.0,122
Avelina Sheaffer,1900-01-01,171,92114,2011-10-05,1848.0,1479.0,122
Misti Twining,1964-02-01,1718,92176,2011-10-01,718.0,718.0,58
Georgianne Edlund,1900-01-01,836,92171,2010-06-09,1867.0,1698.0,122
Ramiro Arispe,1900-01-01,1909,92132,2011-07-01,1553.0,1553.0,122
Elma Bozell,1971-12-05,669,92140,2012-05-01,1243.0,1243.0,51
Magaly Brummer,1900-01-01,1525,92131,2012-08-01,1594.0,1594.0,122
Ivette Orbison,1977-01-03,994,92172,2011-09-01,1715.0,1715.0,45
Bud Grosse,1979-04-15,261,92190,2010-09-01,1431.0,1431.0,43
Leota Suazo,1954-12-06,1401,92184,2012-02-05,1506.0,1506.0,68
Signe Coombe,1959-11-04,2143,92160,2012-06-01,1481.0,1481.0,63
Nery Villafana,1980-04-19,1775,92101,2012-03-16,2092.0,1902.0,42
Aurelio Roman,1981-06-13,167,92179,2012-06-01,1563.0,1563.0,41
