name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age,city,county,state,status
Isaiah Clayton,1900-01-01,985,92166,2011-06-04,1854.0,1854.0,122,San Diego,San Diego County,CA,low risk
Harland Liggins,1983-11-28,910,92194,2011-09-01,1978.0,1978.0,39,San Diego,San Diego County,CA,low risk
Almeda Sanders,1900-01-01,63,92113,2011-11-01,1074.0,1074.0,122,San Diego,San Diego County,CA,low risk
Tiffany Demaris,2011-02-12,2275,92194,2010-11-01,1587.0,1587.0,11,San Diego,San Diego County,CA,low risk
Leo Moorhouse,1900-01-01,1392,92147,2012-07-01,1132.0,1132.0,122,San Diego,San Diego County,CA,low risk
Han Atchison,1900-01-01,905,92191,2010-11-01,1638.0,1638.0,122,San Diego,San Diego County,CA,low risk
Ahmad Eagles,1900-01-01,22,92190,2011-08-01,2038.0,2038.0,122,San Diego,San Diego County,CA,low risk
Leida Yap,1988-04-21,1371,92124,2012-06-01,1716.0,1716.0,34,San Diego,San Diego County,CA,low risk
Treasa Island,1976-08-21,2319,92115,2011-10-03,1686.0,1686.0,46,San Diego,San Diego County,CA,low risk
Dodie Degennaro,1900-01-01,587,92175,2010-09-01,1366.0,1366.0,122,San Diego,San Diego County,CA,low risk
Magan Courts,1900-01-01,1527,92108,2012-03-07,1294.0,1294.0,122,San Diego,San Diego County,CA,low risk
Kacey Quesenberry,1900-01-01,1178,92139,2010-06-03,1760.0,1760.0,122,San Diego,San Diego County,CA,low risk
Tenisha Merriam,1900-01-01,2236,92149,2011-09-01,1879.0,1879.0,122,San Diego,San Diego County,CA,low risk
Hye Micek,1976-11-01,963,92123,2010-09-01,1804.0,1804.0,46,San Diego,San Diego County,CA,low risk
Danna Weatherby,1982-11-07,489,92197,2011-09-03,1523.0,1523.0,40,San Diego,San Diego County,CA,low risk
Damien Rathbun,1900-01-01,474,92103,2010-10-08,1580.0,1580.0,122,San Diego,San Diego County,CA,low risk
Brande Buttner,1983-07-10,238,92134,2011-10-01,1443.0,1443.0,39,San Diego,San Diego County,CA,low risk
Kayla Moton,1900-01-01,1221,92186,2010-07-01,-207.0,1380.0,122,San Diego,San Diego County,CA,low risk
Edmundo Echavarria,1972-08-17,626,92120,2011-03-01,1413.0,1413.0,50,San Diego,San Diego County,CA,low risk
Virginia Latson,1900-01-01,2390,92166,2011-10-01,1692.0,1692.0,122,San Diego,San Diego County,CA,low risk
Delsie Tarrant,1900-01-01,553,92199,2010-10-01,1342.0,1342.0,122,San Diego,San Diego County,CA,low risk
An Jain,1900-01-01,106,92145,2010-10-01,1587.0,1587.0,122,San Diego,San Diego County,CA,low risk
Sudie Galante,1957-05-08,2183,92105,2011-10-04,1208.0,1208.0,65,San Diego,San Diego County,CA,low risk
Coleen Jeter,1974-05-16,434,92127,2011-11-01,1208.0,1208.0,48,San Diego,San Diego County,CA,low risk
Elizabeth Barbee,1970-11-09,660,92171,2012-02-01,1699.0,1699.0,52,San Diego,San Diego County,CA,low risk
