name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age,city,county,lat,lng,housingUnits,occupiedHousingUnits,medianIncome,population,state,status
Denny Paschall,1900-01-01,561,92130,1,1077.0,1077.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Vita Lizaola,1976-10-21,2391,92105,1,1125.0,1125.0,46,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Lanette Preston,1900-01-01,1318,92102,1,1176.0,1176.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Janna Lautenschlage,1900-01-01,1048,92108,1,1489.0,1489.0,122,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Rebekah Weatherly,1900-01-01,1927,92139,1,1406.0,1406.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Candace Yau,1988-03-27,282,92145,1,1290.0,1290.0,34,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Susannah Camilleri,1900-01-01,2189,92109,1,1520.0,1520.0,122,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Major Alfonso,1900-01-01,1538,92108,1,1957.0,1957.0,122,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Tommy Coppock,1971-02-02,2291,92110,1,1754.0,1754.0,51,San Diego,San Diego County,32.77,-117.21,11426.0,10630.0,59719.0,25341.0,CA,low risk
India Linehan,1963-03-06,972,92122,1,1004.0,1004.0,59,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Lisha Penick,1991-10-19,1428,92115,1,1624.0,1624.0,31,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Chelsie Brewton,1973-03-08,377,92124,1,1297.0,1297.0,49,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Delpha Stamand,1971-03-18,548,92111,1,1685.0,1685.0,51,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Dawna Raso,1991-01-02,519,92129,1,1819.0,1819.0,31,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Tawny Lipsey,1984-12-08,2231,92139,1,1356.0,1356.0,38,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Annett Pooley,1900-01-01,116,92102,1,1584.0,1584.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Demarcus Edler,1987-05-15,555,92123,1,1622.0,1622.0,35,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Blanche Straka,1978-02-07,222,92115,1,1728.0,1728.0,44,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Zofia Knoles,1999-12-17,2470,92110,1,1495.0,1495.0,23,San Diego,San Diego County,32.77,-117.21,11426.0,10630.0,59719.0,25341.0,CA,low risk
Curtis Sher,1996-10-14,463,92130,1,1169.0,1169.0,26,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Dortha Holtzman,1979-06-02,604,92111,1,1611.0,1611.0,43,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Latrisha Suire,1900-01-01,1346,92102,1,1477.0,1477.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Tula Dooling,1900-01-01,2336,92109,1,1703.0,1703.0,122,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Sylvester Um,1977-05-09,2196,92104,1,1947.0,1947.0,45,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Giovanni Pinney,1964-01-08,854,92123,1,1427.0,1427.0,58,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Kathi Loggins,1900-01-01,1213,92122,1,942.0,942.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Terrie Bonetti,1980-09-15,2251,92127,1,1376.0,1376.0,42,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Hanna Maury,1987-11-22,908,92120,1,1364.0,1364.0,35,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Natalie Fenton,1900-01-01,1759,92116,1,1940.0,1940.0,122,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Lyman Deer,1970-03-11,1492,92128,1,1616.0,1616.0,52,San Diego,San Diego County,33.0,-117.07,21265.0,20263.0,92531.0,47490.0,CA,low risk
Graham Monaghan,1970-12-03,877,92116,1,1763.0,1763.0,52,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
