name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount
Karima Germany,05/23/1951,1192,92154,11/01/2011,1321,1321
Agustina Spargo,01/01/1900,21,92111,20110906,2289,2289
Lucilla Broderick,01/01/1900,1474,92159,20111101,1439,1439
Russ Mchale,04/20/1977,2015,92137,20120701,1744,1744
Carmelita Ritzer,03/09/1969,311,92136,20110201,1471,1471
Clifton Ellwood,11/02/1993,430,92103,20111101,1233,1233
Theda Howard,01/01/1900,2260,92161,20110901,1850,1850
Delmar Facey,01/01/1900,541,92161,20111201,1587,1587
Lashawn Rotella,12/05/1985,1336,92190,20110701,1930,1930
Tianna Greenwell,01/14/1983,2273,92190,20100501,1597,1597
Jillian Xu,11/19/1981,1115,92177,20100508,1320,1320
Taneka Noto,05/09/1992,2216,92110,20110301,988,988
Santo Hanney,01/01/1900,2052,92174,20120701,1750,1750
Betsey Son,19800815,205,92162,20120801,1560,1560
Curtis Sher,10/14/1996,463,92130,20100901,1169,1169
Britni Friel,03/17/1981,247,92195,20100201,1370,1370
Claretta Carasco,11/25/1964,409,92170,20110411,1698,1544
Kasi Kilgo,01/01/1900,1209,92132,06/01/2011,1539,1539
Harland Liggins,11/28/1983,910,92194,20110201,1978,1978
Sonny Hayslip,08/26/1982,2160,92168,20120408,1531,1531
Paulette Currence,01/01/1900,1867,92176,20111101,1492,1492
Ettie Rozek,04/09/1983,729,92103,20110101,1046,1046
Keturah Sheehan,10/16/1991,1248,92190,20110602,1057,1057
Romana Buscher,04/27/1973,1961,92139,20100317,672,585
Tonia Muniz,01/01/1900,2298,92111,20110101,1512,1512
Nathanial Conlon,19990901,1764,92169,20100601,1415,1415
Enrique Wendell,03/13/1975,705,92116,20100512,1661,1510
Ouida Vanzile,01/01/1900,1853,92147,20120301,1593,1593
Avelina Sheaffer,01/01/1900,171,92114,20111005,1848,1479
Misti Twining,02/01/1964,1718,92176,20111001,718,718
Georgianne Edlund,01/01/1900,836,92171,20100609,1867,1698
Ramiro Arispe,01/01/1900,1909,92132,20110701,1553,1553
Elma Bozell,12/05/1971,669,92140,20120501,1243,1243
Magaly Brummer,01/01/1900,1525,92131,20120801,1594,1594
Ivette Orbison,01/03/1977,994,92172,09/01/2011,1715,1715
Bud Grosse,19790415,261,92190,20100901,1431,1431
Leota Suazo,12/06/1954,1401,92184,20120205,1506,1506
Signe Coombe,11/04/1959,2143,92160,20120601,1481,1481
Nery Villafana,04/19/1980,1775,92101,03/16/2012,2092,1902
Aurelio Roman,06/13/1981,167,92179,20120601,1563,1563
Ahmed Lisby,01/15/1959,24,92103,20120501,1641,1641
Joy Rowlands,01/01/1900,1162,92123,20100401,1040,1040
Arlena Oren,01/01/1900,139,92172,20120201,917,917
Miki Harnage,01/01/1900,1698,92129,20110201,1460,1460
Tessie Calfee,01/01/1900,2257,92150,20110803,1348,1348
Tomeka Ehrhardt,01/01/1900,2289,92111,20120701,1223,1223
Jeannetta Fravel,19620807,1081,92184,20101101,831,831
Ettie Bushong,01/01/1900,727,92111,04/01/2012,1280,1280
Harland Reisch,01/01/1900,911,92186,03/01/2012,2148,2148
Toshiko Sacco,01/01/1900,2310,92187,05/04/2010,692,692
Lani Hessler,01/01/1900,1319,92138,20100901,1464,1464
Annabel Rolph,07/04/1969,108,92147,20101101,1434,1434
Risa Gallaway,01/01/1900,1951,92174,20120314,2380,2164
Lita Michalik,01/01/1900,1432,92139,20111001,1655,1655
